"general_concept_id","category","subcategory","general_concept_name","comments"
80,"Drug","Antimicrobials","Clindamycin",NA
81,"Drug","Antimicrobials","Colistin",NA
82,"Drug","Antimicrobials","Daptomycin",NA
83,"Drug","Antimicrobials","Doxycycline",NA
84,"Drug","Antimicrobials","Eryhromycin",NA
85,"Drug","Antimicrobials","Floxacillin",NA
86,"Drug","Antimicrobials","Fluconazole",NA
87,"Drug","Antimicrobials","Fosfomycin",NA
88,"Drug","Antimicrobials","Gentamicin",NA
89,"Drug","Antimicrobials","Imipenem",NA
90,"Drug","Antimicrobials","Itraconazole",NA
91,"Drug","Antimicrobials","Ketoconazole",NA
92,"Drug","Antimicrobials","Levofloxacin",NA
93,"Drug","Antimicrobials","Linezolid",NA
94,"Drug","Antimicrobials","Meropenem",NA
95,"Drug","Antimicrobials","Metronidazole",NA
96,"Drug","Antimicrobials","Mupirocin",NA
97,"Drug","Antimicrobials","Norfloxacin",NA
98,"Drug","Antimicrobials","Penicillin",NA
99,"Drug","Antimicrobials","Piperacillin",NA
101,"Drug","Antimicrobials","Posaconazole",NA
102,"Drug","Antimicrobials","Rifampicin",NA
103,"Drug","Antimicrobials","Sulfamethoxazole",NA
105,"Drug","Antimicrobials","Tazobactam",NA
106,"Drug","Antimicrobials","Teicoplanin",NA
107,"Drug","Antimicrobials","Tetracycline",NA
108,"Drug","Antimicrobials","Tigecycline",NA
109,"Drug","Antimicrobials","Tobramycin",NA
110,"Drug","Antimicrobials","Trimethoprim",NA
111,"Drug","Antimicrobials","Vancomycin",NA
112,"Drug","Antimicrobials","Voriconazole",NA
113,"Drug","Corticosteroids","Betamethasone",NA
114,"Drug","Corticosteroids","Clobetasol",NA
115,"Drug","Corticosteroids","Cortisone",NA
116,"Drug","Corticosteroids","Dexamethasone",NA
117,"Drug","Corticosteroids","Fludrocortisone",NA
118,"Drug","Corticosteroids","Hydrocortisone",NA
119,"Drug","Corticosteroids","Methylprednisolone",NA
120,"Drug","Corticosteroids","Prednisolone",NA
121,"Drug","Corticosteroids","Prednisone",NA
122,"Drug","Other drugs","Insulin Aspart",NA
123,"Drug","Other drugs","Insulin Aspart, Human",NA
124,"Drug","Other drugs","Insulin Degludec",NA
125,"Drug","Other drugs","Insulin Detemir",NA
126,"Drug","Other drugs","Insulin Glargine",NA
127,"Drug","Other drugs","Insulin Glulisine, Human",NA
128,"Drug","Sedative drugs","Alfentanil",NA
129,"Drug","Sedative drugs","Clonidine",NA
130,"Drug","Sedative drugs","Dexmedetomidine",NA
131,"Drug","Sedative drugs","Etomidate",NA
132,"Drug","Sedative drugs","Fentanyl",NA
133,"Drug","Sedative drugs","Ketamine",NA
134,"Drug","Sedative drugs","Midazolam",NA
135,"Drug","Sedative drugs","Morphine",NA
136,"Drug","Sedative drugs","Propofol",NA
137,"Drug","Sedative drugs","Remifentanil",NA
138,"Drug","Sedative drugs","Sufentanil",NA
139,"Drug","Sedative drugs","Thiopenthal",NA
140,"Drug","Vasoactive drugs","Dobutamine",NA
141,"Drug","Vasoactive drugs","Dopamine",NA
142,"Drug","Vasoactive drugs","Epinephrine",NA
143,"Drug","Vasoactive drugs","Levosimendan",NA
144,"Drug","Vasoactive drugs","Milrinone",NA
145,"Drug","Vasoactive drugs","Norepinephrine",NA
146,"Drug","Vasoactive drugs","Phenylephrine",NA
147,"Drug","Vasoactive drugs","Vasopressin",NA
148,"Labs","Arterial blood gases","ABG Ammonia",NA
149,"Labs","Arterial blood gases","ABG Base excess",NA
150,"Labs","Arterial blood gases","ABG Hematocrit",NA
151,"Labs","Arterial blood gases","ABG PaCO2",NA
152,"Labs","Arterial blood gases","ABG PaO2",NA
153,"Labs","Arterial blood gases","ABG SaO2",NA
154,"Labs","Arterial blood gases","ABG bicarbonate",NA
155,"Labs","Arterial blood gases","ABG calcium ionized",NA
156,"Labs","Arterial blood gases","ABG chloride",NA
157,"Labs","Arterial blood gases","ABG glucose",NA
158,"Labs","Arterial blood gases","ABG hemoglobin",NA
159,"Labs","Arterial blood gases","ABG lactate",NA
160,"Labs","Arterial blood gases","ABG pH",NA
161,"Labs","Arterial blood gases","ABG potassium",NA
162,"Labs","Arterial blood gases","ABG sodium",NA
163,"Labs","Blood specimen type","Arterial blood specimen",NA
164,"Labs","Blood specimen type","Peripheral blood specimen",NA
165,"Labs","Blood specimen type","Venous blood specimen",NA
166,"Labs","Blood specimen type","Whole blood specimen",NA
167,"Labs","Hemostasis","Coagulation factor V",NA
168,"Labs","Hemostasis","Fibrin D-dimer",NA
169,"Labs","Hemostasis","Fibrinogen",NA
170,"Labs","Hemostasis","INR",NA
171,"Labs","Hemostasis","Prothrombin time",NA
172,"Labs","Hemostasis","aPTT",NA
173,"Labs","Liver test","ALP",NA
174,"Labs","Liver test","ALT",NA
175,"Labs","Liver test","AST",NA
176,"Labs","Liver test","Ammonia",NA
177,"Labs","Liver test","Conjugated bilirubin",NA
178,"Labs","Liver test","GGT",NA
179,"Labs","Liver test","Indirect bilirubin",NA
180,"Labs","Liver test","Total bilirubin",NA
181,"Labs","Other labs","1,3 beta glucan",NA
182,"Labs","Other labs","BNP",NA
183,"Labs","Other labs","CRP",NA
184,"Labs","Other labs","HbA1c",NA
185,"Labs","Other labs","Interleukin 6",NA
186,"Labs","Other labs","Lipase",NA
187,"Labs","Other labs","NT-proBNP",NA
188,"Labs","Other labs","PCT",NA
189,"Labs","Other labs","Troponin T",NA
190,"Labs","Plasma blood count","Hematocrit",NA
191,"Labs","Plasma blood count","Plasma basophils",NA
192,"Labs","Plasma blood count","Plasma eosinophils",NA
193,"Labs","Plasma blood count","Plasma erythrocytes",NA
194,"Labs","Plasma blood count","Plasma hemoglobin",NA
195,"Labs","Plasma blood count","Plasma leukocytes",NA
196,"Labs","Plasma blood count","Plasma lymphocytes",NA
197,"Labs","Plasma blood count","Plasma monocytes",NA
198,"Labs","Plasma blood count","Plasma neutrophils",NA
199,"Labs","Plasma blood count","Plasma platelets",NA
200,"Labs","Plasma blood count","Plasma reticulocytes",NA
201,"Labs","Plasma ionogram","Plasma LDH",NA
202,"Labs","Plasma ionogram","Plasma albumin",NA
203,"Labs","Plasma ionogram","Plasma bicarbonate",NA
204,"Labs","Plasma ionogram","Plasma calcium",NA
205,"Labs","Plasma ionogram","Plasma chloride",NA
206,"Labs","Plasma ionogram","Plasma creatinine",NA
207,"Labs","Plasma ionogram","Plasma glucose",NA
208,"Labs","Plasma ionogram","Plasma lactate",NA
209,"Labs","Plasma ionogram","Plasma magnesium",NA
210,"Labs","Plasma ionogram","Plasma phosphate",NA
211,"Labs","Plasma ionogram","Plasma potassium",NA
212,"Labs","Plasma ionogram","Plasma sodium",NA
213,"Labs","Plasma ionogram","Plasma urea",NA
214,"Labs","Urinary ionogram","Urinary bicarbonate",NA
215,"Labs","Urinary ionogram","Urinary calcium",NA
216,"Labs","Urinary ionogram","Urinary chloride",NA
217,"Labs","Urinary ionogram","Urinary creatinine",NA
218,"Labs","Urinary ionogram","Urinary glucose",NA
219,"Labs","Urinary ionogram","Urinary phosphate",NA
220,"Labs","Urinary ionogram","Urinary potassium",NA
221,"Labs","Urinary ionogram","Urinary sodium",NA
222,"Labs","Urinary ionogram","Urinary urea",NA
223,"Microbiology","Microorganism","Actinomyces neuii subspecies neuii",NA
224,"Microbiology","Microorganism","Bacillus cereus group",NA
225,"Microbiology","Microorganism","Bacillus mycoides",NA
226,"Microbiology","Microorganism","Citrobacter freundii complex",NA
227,"Microbiology","Microorganism","Citrobacter koseri",NA
228,"Microbiology","Microorganism","Corynebacterium amycolatum",NA
229,"Microbiology","Microorganism","Corynebacterium species",NA
230,"Microbiology","Microorganism","Corynebacterium striatum",NA
231,"Microbiology","Microorganism","Dermabacter hominis",NA
232,"Microbiology","Microorganism","Enterobacter aerogenes",NA
233,"Microbiology","Microorganism","Enterobacter cloacae",NA
234,"Microbiology","Microorganism","Enterobacter cloacae complex",NA
235,"Microbiology","Microorganism","Enterococcus faecalis",NA
236,"Microbiology","Microorganism","Enterococcus faecium",NA
237,"Microbiology","Microorganism","Escherichia coli",NA
238,"Microbiology","Microorganism","Gram-negative bacteria",NA
239,"Microbiology","Microorganism","Gram-positive bacteria",NA
240,"Microbiology","Microorganism","Gram-positive cocci in clusters",NA
241,"Microbiology","Microorganism","Granulicatella adiacens",NA
242,"Microbiology","Microorganism","Klebsiella oxytoca",NA
243,"Microbiology","Microorganism","Klebsiella pneumoniae",NA
244,"Microbiology","Microorganism","Klebsiella variicola",NA
245,"Microbiology","Microorganism","Lysinibacillus",NA
246,"Microbiology","Microorganism","Micrococcus luteus",NA
247,"Microbiology","Microorganism","Paenibacillus pabuli",NA
248,"Microbiology","Microorganism","Pantoea agglomerans",NA
249,"Microbiology","Microorganism","Pantoea septica",NA
250,"Microbiology","Microorganism","Pseudomonas aeruginosa",NA
251,"Microbiology","Microorganism","Raoultella ornithinolytica",NA
252,"Microbiology","Microorganism","Rothia dentocariosa",NA
253,"Microbiology","Microorganism","Rothia mucilaginosa",NA
254,"Microbiology","Microorganism","Serratia",NA
255,"Microbiology","Microorganism","Serratia liquefaciens",NA
256,"Microbiology","Microorganism","Serratia marcescens",NA
257,"Microbiology","Microorganism","Staphylococcus aureus",NA
258,"Microbiology","Microorganism","Staphylococcus capitis",NA
259,"Microbiology","Microorganism","Staphylococcus epidermidis",NA
260,"Microbiology","Microorganism","Staphylococcus haemolyticus",NA
261,"Microbiology","Microorganism","Staphylococcus hominis",NA
262,"Microbiology","Microorganism","Staphylococcus warneri",NA
263,"Microbiology","Microorganism","Streptococcus agalactiae (Group B streptococcus)",NA
264,"Microbiology","Microorganism","Streptococcus anginosus",NA
265,"Microbiology","Microorganism","Streptococcus dysgalactiae",NA
266,"Microbiology","Microorganism","Streptococcus mitis (Streptococcus mitis group)",NA
267,"Microbiology","Microorganism","Streptococcus mitis group",NA
268,"Microbiology","Microorganism","Streptococcus vestibularis",NA
269,"Microbiology","Microorganism","Streptococcus, viridans group",NA
270,"Microbiology","Specimen","Blood culture",NA
271,"Other","Demographic data","Birth datetime",NA
272,"Other","Demographic data","Birth height",NA
273,"Other","Demographic data","Birth weight",NA
274,"Other","Demographic data","Body height",NA
275,"Other","Demographic data","Body weight",NA
276,"Other","Demographic data","Death datetime",NA
277,"Other","Demographic data","Gender",NA
278,"Other","Demographic data","Gestational age",NA
279,"Other","Demographic data","Gestational age at birth",NA
280,"Other","Demographic data","Hospital admission datetime",NA
281,"Other","Demographic data","Hospital discharge datetime",NA
282,"Other","Demographic data","ICU admission datetime",NA
283,"Other","Demographic data","ICU discharge datetime",NA
284,"Other","Demographic data","Ideal body weight",NA
285,"Other","Nutrition","Contraindication to enteral feeding",NA
286,"Other","Nutrition","Energy intake",NA
287,"Other","Nutrition","Energy requirement",NA
288,"Other","Other","Advance care plan agreed",NA
289,"Other","Other","Consultation with patient",NA
290,"Other","Other","Surrogate decision maker documented",NA
291,"Procedure","Catheter","Central venous catheter",NA
292,"Procedure","ECMO","ECMO",NA
293,"Procedure","Nutrition","Enteral feeding",NA
294,"Procedure","Patient position","Mobilization",NA
295,"Procedure","Patient position","Order to not mobilize",NA
296,"Procedure","Patient position","Prone positioning",NA
297,"Procedure","Plasmapheresis","Plasmapheresis",NA
298,"Procedure","Renal replacement therapy","Renal replacement therapy",NA
299,"Ventilation","Airway device","Endotracheal tube","# Definition

An endotracheal tube (ETT) is a medical device inserted through the mouth or nose into the trachea to maintain an open airway, facilitate mechanical ventilation, and protect against aspiration. No measurement units apply (device presence/type documentation).

# Mapping Strategy

For ICU documentation, this concept refers to the **presence and type of endotracheal tube** as an airway device. Prioritize the **device type** when clinically relevant, or use the generic concept when the specific tube type is unspecified.

## Recommended concepts

**Default concept:**

- **Endotracheal tube, device** (SNOMED 26412008): Use when tube type is unspecified or standard ETT without special features

**Functional specializations** (for specialized clinical scenarios):

- **Antimicrobial endotracheal tube** (SNOMED 463327000): Tube with antimicrobial coating to prevent ventilator-associated pneumonia (VAP)
- **Cuff-suction endotracheal tube** (SNOMED 467766005): Tube with subglottic suction port above the cuff for secretion drainage
- **Endotracheal tube with bronchial blocker** (SNOMED 430553000): Tube with integrated bronchial blocker for lung isolation during thoracic procedures
- **Endotracheal tube with directional tip** (SNOMED 449298004): Tube with steerable tip for difficult intubation scenarios

**Structural variations** (for specific positioning or kinking prevention):

- **Armored endotracheal tube** (SNOMED 309801005): Tube reinforced with wire coil (also called flexometallic or reinforced tube) to prevent kinking during prone positioning or head/neck surgery
- **Preformed endotracheal tube** (SNOMED 420977008): Tube pre-shaped for specific surgical positioning
- **RAE endotracheal tube** (SNOMED 309802003): Ring, Adair, Elwyn tube with pre-formed bend to keep connections away from surgical field
  - **Oral RAE endotracheal tube** (SNOMED 309804002): RAE tube inserted orally
  - **Nasal RAE endotracheal tube** (SNOMED 309805001): RAE tube inserted nasally
- **Magill type endotracheal tube** (SNOMED 420673005): Standard curved tube design
  - **Magill type oral endotracheal tube** (SNOMED 420344001): Magill tube inserted orally
  - **Magill type nasal endotracheal tube** (SNOMED 420855005): Magill tube inserted nasally
- **Oxford endotracheal tube** (SNOMED 309803008): Specific tube design (less common in modern practice)

**Procedure-specific tubes** (primarily for operating room use):

- **Laser-resistant endotracheal tube** (SNOMED 470227004): Tube wrapped with metallic foil for laser surgery on airway structures
- **High-frequency ventilation endotracheal tube** (SNOMED 700604003): Specialized tube for high-frequency oscillatory ventilation (HFOV)
- **Oxygen insufflation endotracheal tube** (SNOMED 1187321001): Tube designed for apneic oxygenation during intubation or procedures
- **Electromyographic endotracheal tube** (SNOMED 704923004): Tube with integrated electrodes for nerve monitoring during thyroid/neck surgery
- **Video intubation endotracheal tube** (SNOMED 870581009): Tube with integrated camera for intubation guidance

# Important Notes

- **Tube characteristics as separate observations**: Record these as separate measurements linked via FACT_RELATIONSHIP:
  - Tube size/diameter (typically 6.0-9.0 mm internal diameter for adults) - use separate ""Endotracheal tube diameter"" concept
  - Tube insertion depth (cm at teeth/lips)
  - Cuff pressure (typically maintained at 20-30 **cmH₂O**) - record as separate vital sign measurement
  - Insertion route (oral vs nasal) - can be linked via FACT_RELATIONSHIP to SNOMED position concepts

- **Distinction from tracheostomy**: Endotracheal tubes are inserted through the upper airway (mouth/nose) for short-to-medium term use (typically <14-21 days), while tracheostomy tubes are placed through a surgical stoma in the anterior trachea for longer-term airway management"
300,"Ventilation","Airway device","Tracheostomy tube","# Definition

A tracheostomy tube is a medical device inserted through a surgical opening (stoma) in the anterior trachea to provide long-term airway access, facilitate mechanical ventilation, and enable secretion management. No measurement units apply (device presence/type documentation).

# Mapping Strategy

For ICU documentation, this concept refers to the **presence and type of tracheostomy tube** as a long-term airway device. Prioritize the **device type and features** when clinically relevant, or use the generic concept when the specific tube characteristics are unspecified.

## Recommended concepts

**Default concept:**

- **Tracheostomy tube, device** (SNOMED 129121000): Use when tube type or features are unspecified

**Tube design features:**

- **Fenestrated tracheostomy tube** (SNOMED 1343696006): Tube with openings (fenestrations) in the shaft to allow airflow through the upper airway for speech and weaning
- **Non-fenestrated tracheostomy tube** (SNOMED 1344664005): Tube without fenestrations (standard design for mechanical ventilation)
- **Reinforced tracheostomy tube** (SNOMED 465608000): Tube with wire reinforcement to prevent kinking or compression

**Tube components:**

- **Tracheostomy tube cannula** (SNOMED 1137710007): Generic term for the tube shaft itself
- **Tracheostomy tube inner cannula** (SNOMED 1343640004): Removable inner liner for easier cleaning and maintenance (not a separate device, but a component)

**Specialized surgical tubes:**

- **Operative tracheostomy tube** (SNOMED 463384005): Tube designed for immediate use during surgical tracheostomy procedure
- **Laryngectomy tube** (SNOMED 470610002): Tube for patients who have undergone total laryngectomy (shorter tube, different anatomy)
  - **Laryngectomy tube, non-sterile** (SNOMED 718933007): Non-sterile laryngectomy tube for long-term home use

# Important Notes

- **Distinction from endotracheal tubes**: Tracheostomy tubes are placed through a surgical stoma in the anterior trachea for longer-term airway management (typically >14-21 days), while endotracheal tubes are inserted through the upper airway (mouth/nose) for short-to-medium term use

- **Fenestrated vs non-fenestrated tubes**:
  - **Fenestrated tubes**: Used for weaning from mechanical ventilation and enabling speech when the tube is capped or cuffed with a one-way speaking valve
  - **Non-fenestrated tubes**: Standard for continuous mechanical ventilation without upper airway access
  - Many modern tracheostomy tubes have interchangeable inner cannulas (fenestrated and non-fenestrated) for the same outer cannula

- **Tube characteristics as separate observations**: Record these as separate measurements linked via FACT_RELATIONSHIP:
  - Tube size/diameter (typically 6.0-10.0 mm internal diameter for adults)
  - Tube length (standard vs extended length for anatomical variations)
  - Cuff type (cuffed vs uncuffed, high-volume low-pressure cuff)
  - Cuff pressure (typically maintained at 20-30 **cmH₂O**) - record as separate measurement

- **Inner cannula documentation**: The inner cannula is a removable component of the tracheostomy tube system, not a separate device. Use ""Tracheostomy tube inner cannula"" (SNOMED 1343640004) only when documenting inner cannula changes or cleaning procedures, not as the primary tracheostomy tube concept

- **Clinical context considerations**:
  - **Fenestrated tubes**: Allow upper airway breathing when capped (for speech, swallowing assessment, ventilator weaning)
  - **Reinforced tubes**: Prevent tube occlusion in patients with thick necks, obese patients, or those at risk of external compression
  - **Operative tubes**: Initial tubes placed during surgical tracheostomy, often replaced after tract maturation (7-14 days)"
301,"Ventilation","Oxygenation","Fraction of inspired oxygen (FiO2)","# Definition

Fraction of Inspired Oxygen (FiO2) represents the proportion of oxygen in the inhaled gas mixture, expressed as a **percentage (21-100%)** or decimal fraction (0.21-1.0). Normal room air FiO2 is 21%. In mechanically ventilated or oxygen-supplemented patients, FiO2 ranges from 21% to 100%.

# Mapping Strategy

FiO2 measurements can be **set values** (prescribed oxygen concentration on the ventilator) or **measured values** (actual analyzed oxygen concentration). For ICU documentation, **prioritize distinguishing between set and measured FiO2** when both are available, as they may differ due to circuit leaks or device limitations.

## Recommended concepts

**Default concepts** (when set/measured distinction is not available):

- **Inspired oxygen concentration** (SNOMED 250774007): Use for all FiO2 measurements when set/measured distinction is unavailable or not relevant
- **Inhaled oxygen concentration** (LOINC 3150-0): Use for all FiO2 measurements when set/measured distinction is unavailable or not relevant

**Ventilator-specific concepts** (preferred when distinction is available):

- **Oxygen/Total gas setting [Volume Fraction] Ventilator** (LOINC 19994-3): FiO2 **setting** (prescribed/programmed value on mechanical ventilator)
- **Oxygen/Inspired gas Respiratory system by O2 Analyzer --on ventilator** (LOINC 19995-0): FiO2 **measured** (actual analyzed oxygen concentration via oxygen analyzer on mechanical ventilator)
- **Oxygen/Inspired gas Respiratory system --on ventilator** (LOINC 19996-8): FiO2 on mechanical ventilator when measurement method is unspecified (neither explicitly set nor measured)

# Important Notes

- **Set vs measured FiO2**:
  - **Set FiO2** (LOINC 19994-3): Prescribed oxygen concentration programmed on the ventilator control panel
  - **Measured FiO2** (LOINC 19995-0): Actual oxygen concentration analyzed by the ventilator's oxygen sensor in the inspiratory limb
  - Measured FiO2 may differ from set FiO2 due to circuit leaks, oxygen blender malfunction, or air entrainment

- **When to use which concept**:
  - **Mechanical ventilation**: Use ventilator-specific concepts (LOINC 19994-3 for set FiO2, LOINC 19995-0 for measured FiO2, or LOINC 19996-8 when distinction is unavailable)
  - **High-flow nasal cannula (HFNC)** or **controlled FiO2 devices** (Venturi mask): Use generic concepts (SNOMED 250774007 or LOINC 3150-0) when FiO2 is directly set or displayed on the device
  - **Low-flow oxygen therapy** (nasal cannula, simple face mask): Use the **""Oxygen flow rate""** general concept instead (document flow rate in L/min, not FiO2)

- **Distinction from oxygen flow rate**:
  - **FiO2** = oxygen concentration (%) - use this concept for ventilators and controlled FiO2 devices
  - **Oxygen flow rate** = oxygen delivery rate (L/min) - see the **""Oxygen flow rate""** general concept for mapping oxygen delivery in L/min

- **Units**: FiO2 should be documented as **percentage (%)** (UCUM concept ID 8554). Decimal fraction (0.21-1.0) can also be used but percentage is preferred for clinical consistency."
